date,lat,lon,doy_sin,doy_cos,era5_tp_mm,era5_t2m_k,era5_d2m_k,era5_u10_ms,era5_v10_ms,era5_wind_speed,era5_dew_depression,dem_elevation_m,dem_slope_deg,gpm_precipitation_mm,gpm_mw_precipitation,gpm_prob_liquid_pct,imd_rainfall_lag1,imd_rainfall_lag3,inv_hist_flooded_pct,inv_perm_water_pct,inv_mean_duration,inv_population_log,s1_sar_wetness_index,s1_sar_flood_prior,target_rainfall_mm,target_heavy_rain_class,target_inundation_pct
2017-09-11,15.25,78.5,-0.9417589340994617,-0.33628873017668287,0.02835194207727909,302.6766662597656,296.98065185546875,-2.1588008403778076,0.717025101184845,2.274762858881133,5.696014404296875,516.3182983398438,3.597909927368164,2.442934036254883,2.072685956954956,99.96329711856399,0.0,8.744650840759277,2.73145838,0.0,6.0,13.842425090505156,0.326798914506898,32.44586089401103,1.1701527833938599,0,2.7423174921439877
2017-09-11,34.25,74.25,-0.9417589340994617,-0.33628873017668287,0.31886497139930725,288.4159240722656,285.3215637207031,-0.04914093017578125,-0.25156211853027344,0.2563168556649764,3.0943603515625,62.75,0.8765000104904175,6.631988048553467,6.712784290313721,99.91323501865034,0.0,17.953630447387695,1.733990094,0.091584225,3.0,12.828574697520745,0.37456519146250256,34.03807012586451,17.09224510192871,0,8.040431527416473
2017-09-11,25.75,86.75,-0.9417589340994617,-0.33628873017668287,0.091572605073452,303.1244812011719,299.8244934082031,-1.9706497192382812,-0.27756309509277344,1.9901008988720639,3.29998779296875,117.25,1.2035000324249268,3.2125015258789062,3.510526180267334,99.95178705226981,3.8677687644958496,17.416982650756836,2.346467017,0.970690301,5.0,14.13137986141569,0.33404690594957837,32.68746060876704,3.5861499309539795,0,5.261147878478759
2017-09-11,24.75,75.75,-0.9417589340994617,-0.33628873017668287,0.1500447541475296,301.72076416015625,297.9407653808594,0.9790573120117188,0.30373573303222656,1.0250895647328755,3.779998779296875,114.25,1.1855000257492065,6.9259209632873535,6.52809476852417,99.92529624712915,0.0,1.0357574224472046,1.274110942,0.55806105,6.0,15.50920910088476,0.326395728424058,32.43242135791636,1.0357574224472046,0,2.788844283440606
2017-09-11,25.25,77.5,-0.9417589340994617,-0.33628873017668287,0.12685854732990265,301.68316650390625,297.39300537109375,0.6464564204216003,0.36700883507728577,0.7433716355424757,4.2901611328125,467.54852294921875,3.305291175842285,9.901413917541504,9.449570655822754,99.92365660580195,0.0,37.4805793762207,1.226830999,0.077062889,2.0,13.820949738764465,0.4357301942853785,36.07690355329371,37.4805793762207,1,11.79607794201386
2017-09-11,17.0,76.5,-0.9417589340994617,-0.33628873017668287,0.16248226165771484,301.94561767578125,296.7903137207031,-2.411771059036255,1.0414472818374634,2.627023426247185,5.155303955078125,305.7903747558594,2.334742307662964,2.1430208683013916,2.4383959770202637,99.95319987620738,0.0,53.234798431396484,2.162077627,0.096288881,2.0,13.089087836639475,0.3325912467985011,32.63893863706446,3.1009302139282227,0,6.86500217925609
2017-09-11,25.5,86.5,-0.9417589340994617,-0.33628873017668287,0.0699361190199852,303.8007507324219,299.9978942871094,-1.657946228981018,-0.26608848571777344,1.6791631190637664,3.8028564453125,116.5,1.1990000009536743,2.7117667198181152,3.9977190494537354,99.95961428827391,1.9869718551635742,5.138383388519287,1.280221069,0.000328815,25.0,14.096389290089714,0.3310025815515376,32.585983128832346,2.5713751316070557,0,3.031785903628031
2017-09-11,22.5,85.25,-0.9417589340994617,-0.33628873017668287,0.5063414573669434,301.0871276855469,298.0832824707031,1.222791075706482,0.7376956939697266,1.4280801629211477,3.00384521484375,107.5,1.1449999809265137,1.7191702127456665,1.8867812156677246,99.95335380255078,4.490387439727783,6.5721516609191895,0.690751655,0.102150461,6.0,14.335580917174877,0.32812335784719954,32.49000900535441,1.6116338968276978,0,3.0253647732945073
2017-09-11,21.25,77.75,-0.9417589340994617,-0.33628873017668287,0.29462575912475586,300.82403564453125,297.27996826171875,-0.5711542963981628,-0.08831342309713364,0.5779415982547145,3.5440673828125,551.2703247070312,3.807622194290161,3.526625871658325,3.9239211082458496,99.91723689997231,10.462836265563965,18.677738189697266,6.753345435,0.145588085,23.0,15.171427924714711,0.3317426001577235,32.61065041570521,2.8180480003356934,0,3.7995347302221774
2017-09-11,15.75,74.0,-0.9417589340994617,-0.33628873017668287,0.7110635638237,300.13409423828125,297.8113098144531,-0.27029165625572205,0.13759803771972656,0.3032998506853914,2.322784423828125,770.1766967773438,5.121059894561768,1.842941164970398,2.335665464401245,99.95297346603034,0.0,43.06012725830078,4.786805709,0.007473247,7.0,15.193189159794073,0.3820511152295924,34.287600918100836,19.587553024291992,0,7.393608570119424
2017-09-11,26.0,87.0,-0.9417589340994617,-0.33628873017668287,0.13629595935344696,302.4250183105469,299.5364074707031,-1.942858338356018,-0.27617964148521423,1.9623897974893798,2.88861083984375,118.0,1.2079999446868896,4.1536102294921875,4.4455108642578125,99.93333116153306,5.586918830871582,48.876220703125,1.881503151,0.022872843,6.0,14.563514227188394,0.37878021068857676,34.17857076673365,18.497251510620117,0,10.881023025754645
2017-09-11,14.0,80.0,-0.9417589340994617,-0.33628873017668287,0.10561943054199219,303.2196350097656,298.63250732421875,-1.828234314918518,1.1746259927749634,2.173059348740423,4.587127685546875,82.0,0.9919999837875366,3.3147921562194824,1.7478820085525513,99.96158519700943,6.390573501586914,13.83373737335205,1.367448139,0.625093908,8.0,13.954522654057575,0.3348454811124659,32.71407978086329,3.852341651916504,0,4.748112854670184
2017-09-11,33.75,73.75,-0.9417589340994617,-0.33628873017668287,0.3172954022884369,295.5053405761719,290.9021911621094,-0.11688995361328125,-0.6257889866828918,0.6366122187873208,4.6031494140625,61.25,0.8675000071525574,6.130709648132324,5.984254360198975,99.91106172527813,0.0,21.898544311523438,0.586707161,0.388930127,30.0,14.328567091399732,0.3866971418409205,34.44246847181178,21.136228561401367,0,9.711367526885859
2017-09-11,23.75,87.25,-0.9417589340994617,-0.33628873017668287,0.39964914321899414,302.5423889160156,299.6909484863281,-0.20604197680950165,1.0275312662124634,1.0479855911470135,2.8514404296875,111.25,1.1675000190734863,3.7672085762023926,3.2166123390197754,99.96489644584888,0.0,15.305669784545898,2.689873614,2.697055096,5.0,14.733123615180789,0.32769767518328197,32.475819583223824,1.4697396755218506,0,6.115824881360867
2017-09-11,16.5,73.75,-0.9417589340994617,-0.33628873017668287,0.8807380795478821,300.35284423828125,297.6058044433594,-0.12995147705078125,0.06667518615722656,0.14605809404747325,2.747039794921875,799.5205688476562,5.297123432159424,1.7311862707138062,2.1955864429473877,99.94226540485072,19.474319458007812,68.44291687011719,1.701345896,1.091398785,5.0,14.860460080596098,0.4115170824079371,35.26979982404566,29.409542083740234,0,11.139338346716881
2017-09-11,22.25,74.75,-0.9417589340994617,-0.33628873017668287,0.27634701132774353,302.20147705078125,298.45550537109375,-0.07457224279642105,0.07635942846536636,0.1067322899184955,3.7459716796875,106.75,1.1404999494552612,4.294612884521484,3.9996085166931152,99.94423407391723,1.394603967666626,5.927520751953125,5.911067913,0.984745694,10.0,13.430669798270527,0.3368872057943202,32.78213727025843,4.53291654586792,0,4.4790830451637085
2017-09-11,21.0,74.75,-0.9417589340994617,-0.33628873017668287,0.2072056084871292,302.1876525878906,298.25946044921875,-0.33922067284584045,-0.14633750915527344,0.3694392121469437,3.928192138671875,103.0,1.1180000305175781,3.140401840209961,2.8772475719451904,99.93348020132588,0.0,14.69816780090332,3.637205694,0.028212116,21.0,14.477250659270558,0.3648327924756861,33.71365682630396,13.848112106323242,0,6.717430155304136
2017-09-11,24.5,82.75,-0.9417589340994617,-0.33628873017668287,0.1601974219083786,302.8273620605469,298.6844177246094,1.7303186655044556,0.42869505286216736,1.7826334823910428,4.1429443359375,361.2963562011719,2.667778253555298,4.109433650970459,4.2703423500061035,99.94216197286335,0.0,4.553955554962158,0.261632224,0.109739276,8.0,14.301057142225236,0.33695032282160287,32.78424117116786,4.553955554962158,0,3.319472189207125
2017-09-11,33.5,76.25,-0.9417589340994617,-0.33628873017668287,0.041286151856184006,274.1332702636719,271.60321044921875,-0.01740264892578125,-0.0026607513427734375,0.01760487964577054,2.530059814453125,4426.470703125,27.058826446533203,9.564190864562988,9.939557075500488,99.89756649780921,64.63207244873047,70.68672943115234,2.875769392,0.021873585,9.0,13.3311694363302,0.332554854586587,32.637725563333994,3.088799476623535,0,2.2946663250579933
2017-09-11,17.5,75.75,-0.9417589340994617,-0.33628873017668287,0.6486971974372864,301.3741760253906,297.2319641113281,-2.185330629348755,0.5152835845947266,2.2452588118349777,4.1422119140625,943.8880004882812,6.163328170776367,2.095252513885498,2.411851406097412,99.94207157167754,0.0,37.47500991821289,2.863639705,1.45893785,34.0,13.42628143010419,0.32656536956118115,32.43807606248713,1.0923044681549072,0,5.226282002468448
2017-09-11,12.5,75.25,-0.9417589340994617,-0.33628873017668287,0.21769602596759796,299.4145202636719,297.54730224609375,-0.0301386509090662,0.6518802642822266,0.6525765987524255,1.867218017578125,1299.5596923828125,8.297357559204102,4.355134010314941,4.389546871185303,99.92665328294757,2.778857707977295,26.871667861938477,0.98190471,0.983855741,4.0,14.952624711732712,0.3368567258863307,32.78112127332545,4.522756576538086,0,4.327537499494921
2017-09-11,33.25,75.5,-0.9417589340994617,-0.33628873017668287,0.08676449209451675,287.6532897949219,283.1399230957031,-0.06517282873392105,-0.47877565026283264,0.48319108113641673,4.51336669921875,3923.46044921875,24.040761947631836,8.677299499511719,8.811262130737305,99.90161826266838,0.0,9.0042724609375,13.40492833,0.022007889,1.0,15.029674060292484,0.3492237522153712,33.19335548429346,8.645098686218262,0,2.274390990052781
2017-09-11,17.25,81.0,-0.9417589340994617,-0.33628873017668287,0.04565715789794922,302.6349792480469,298.6372375488281,-2.0711543560028076,1.6534265279769897,2.6501886064594435,3.99774169921875,300.0620422363281,2.3003721237182617,2.0795483589172363,1.8278411626815796,99.95535321616471,0.0,2.2019898891448975,1.788990887,0.0,7.0,14.087169950110423,0.32713845320032603,32.457178850458625,1.283332347869873,0,2.38895123865776
2017-09-11,19.0,76.25,-0.9417589340994617,-0.33628873017668287,0.6707708239555359,301.54644775390625,296.7127380371094,-1.264147400856018,0.7666670680046082,1.4784610391396211,4.833709716796875,472.4815673828125,3.3348894119262695,2.1989293098449707,2.596257448196411,99.94446353818839,0.5047706961631775,84.08492279052734,1.560368914,0.162468901,4.0,10.993597128712489,0.35053159733103284,33.23695032148218,9.081047058105469,0,9.639835917653894
2017-09-11,25.75,74.75,-0.9417589340994617,-0.33628873017668287,0.12195110321044922,301.7660827636719,297.5493469238281,0.6377487182617188,-0.5783443450927734,0.8609329876042933,4.21673583984375,117.25,1.2035000324249268,7.644340515136719,8.010171890258789,99.91570618800189,0.0,5.561586856842041,1.381857077,0.0,3.0,11.839000985408878,0.33513415546701913,32.7237022593484,3.948566436767578,0,3.404942276128528
2017-09-11,14.75,75.0,-0.9417589340994617,-0.33628873017668287,0.3141164779663086,299.1806335449219,296.2512512207031,-0.9525426030158997,0.44350624084472656,1.0507307915106163,2.92938232421875,894.9625244140625,5.869775295257568,3.711383104324341,1.9124921560287476,99.9318301760787,0.8092430233955383,25.121143341064453,2.6734292,0.01244799,4.0,12.146763096126838,0.3288064635543681,32.51277919559336,1.8393357992172241,0,3.4822743193047425
2017-09-11,23.5,82.75,-0.9417589340994617,-0.33628873017668287,0.9652376174926758,299.49786376953125,296.4688415527344,0.7201054692268372,0.40468788146972656,0.826029157002862,3.029022216796875,300.2876892089844,2.3017261028289795,4.0569844245910645,3.93630313873291,99.93526542113922,0.4141581952571869,11.868475914001465,5.209973941,0.023735469,30.0,14.852101687611658,0.3515581781415797,33.27116968183375,9.423240661621094,0,4.920459985085836
2017-09-11,34.25,75.0,-0.9417589340994617,-0.33628873017668287,0.07917483896017075,284.86627197265625,279.9087829589844,0.30006155371665955,0.30625852942466736,0.4287554347926281,4.957489013671875,62.75,0.8765000104904175,8.20969295501709,8.284562110900879,99.89870506409525,0.0,3.1977150440216064,2.705190205,0.020060771,23.0,15.225522422263504,0.33288160128878125,32.6486171200738,3.1977150440216064,0,3.0685536706547127
2017-09-11,16.0,76.75,-0.9417589340994617,-0.33628873017668287,0.06276369094848633,301.7699890136719,296.45013427734375,-2.770657777786255,0.8993574976921082,2.912969006059364,5.319854736328125,406.81451416015625,2.940886974334717,1.9401450157165527,2.060404062271118,99.94536347792092,0.0,38.251739501953125,5.928437334,0.593664003,11.0,15.923065561768162,0.3327094220666743,32.642877812670235,3.140321969985962,0,5.882236242759693
